iter	Passed	Remaining
0	159	159049
1	160	80239
2	162	53972
3	167	41592
4	170	34010
5	174	28901
6	178	25269
7	180	22426
8	184	20272
9	186	18474
10	189	17052
11	192	15857
12	194	14737
13	197	13902
14	200	13192
15	203	12531
16	206	11958
17	208	11374
18	210	10877
19	215	10568
20	218	10194
21	220	9815
22	223	9500
23	225	9179
24	229	8938
25	233	8743
26	236	8513
27	238	8264
28	239	8025
29	242	7839
30	245	7668
31	248	7520
32	250	7340
33	253	7194
34	255	7042
35	257	6906
36	259	6763
37	261	6627
38	263	6490
39	265	6361
40	267	6258
41	270	6161
42	275	6125
43	279	6066
44	282	5991
45	284	5910
46	290	5885
47	292	5807
48	294	5722
49	296	5630
50	297	5536
51	299	5453
52	300	5369
53	303	5317
54	305	5243
55	306	5168
56	308	5097
57	309	5026
58	310	4959
59	312	4903
60	314	4838
61	322	4875
62	324	4823
63	328	4798
64	331	4771
65	336	4761
66	339	4721
67	341	4678
68	349	4719
69	355	4719
70	358	4692
71	363	4681
72	366	4652
73	369	4624
74	372	4588
75	378	4598
76	385	4615
77	387	4575
78	401	4681
79	415	4780
80	417	4742
81	423	4743
82	428	4734
83	431	4710
84	435	4687
85	440	4676
86	444	4663
87	448	4646
88	455	4660
89	461	4670
90	466	4656
91	469	4631
92	474	4630
93	477	4597
94	478	4558
95	480	4521
96	482	4493
97	484	4463
98	486	4427
99	488	4394
100	490	4365
101	492	4332
102	494	4303
103	499	4307
104	501	4278
105	503	4245
106	505	4222
107	508	4202
108	510	4175
109	513	4157
110	517	4144
111	521	4132
112	524	4115
113	526	4090
114	531	4089
115	534	4070
116	536	4048
117	539	4032
118	541	4011
119	543	3984
120	545	3963
121	546	3936
122	549	3917
123	554	3914
124	556	3893
125	559	3881
126	560	3855
127	562	3832
128	566	3822
129	569	3812
130	572	3795
131	574	3779
132	576	3760
133	580	3753
134	582	3734
135	584	3715
136	586	3694
137	589	3679
138	591	3662
139	593	3644
140	596	3634
141	597	3611
142	599	3593
143	601	3574
144	602	3555
145	606	3546
146	609	3534
147	610	3515
148	612	3498
149	614	3484
150	616	3467
151	618	3450
152	620	3437
153	622	3421
154	624	3405
155	626	3391
156	628	3375
157	630	3362
158	632	3346
159	635	3335
160	636	3315
161	638	3305
162	641	3294
163	643	3278
164	645	3264
165	647	3253
166	651	3248
167	653	3238
168	656	3227
169	658	3215
170	660	3201
171	661	3186
172	668	3193
173	670	3181
174	671	3167
175	674	3158
176	676	3146
177	680	3143
178	682	3132
179	684	3119
180	686	3106
181	688	3092
182	689	3079
183	692	3073
184	695	3064
185	698	3058
186	701	3049
187	703	3038
188	706	3030
189	708	3020
190	710	3009
191	712	2998
192	714	2988
193	717	2981
194	719	2972
195	722	2962
196	724	2952
197	726	2942
198	728	2931
199	729	2918
200	731	2907
201	733	2898
202	739	2902
203	740	2891
204	743	2883
205	746	2875
206	747	2865
207	749	2853
208	751	2842
209	753	2835
210	755	2825
211	761	2829
212	763	2821
213	765	2811
214	766	2799
215	768	2789
216	770	2781
217	773	2773
218	776	2769
219	789	2797
220	790	2787
221	797	2794
222	800	2788
223	803	2782
224	806	2777
225	810	2776
226	812	2766
227	814	2759
228	817	2753
229	820	2746
230	822	2739
231	825	2731
232	827	2722
233	830	2719
234	839	2732
235	841	2724
236	844	2719
237	847	2714
238	850	2707
239	851	2696
240	853	2687
241	856	2682
242	858	2673
243	861	2669
244	863	2660
245	865	2652
246	867	2643
247	869	2635
248	871	2627
249	873	2619
250	876	2614
251	878	2607
252	880	2599
253	882	2592
254	884	2583
255	886	2575
256	887	2566
257	890	2559
258	892	2552
259	894	2544
260	896	2538
261	898	2531
262	901	2525
263	903	2519
264	906	2513
265	908	2505
266	911	2503
267	914	2498
268	917	2493
269	920	2487
270	921	2480
271	923	2471
272	925	2465
273	927	2457
274	929	2451
275	932	2444
276	933	2436
277	936	2431
278	938	2424
279	939	2416
280	941	2408
281	942	2399
282	946	2397
283	947	2389
284	949	2383
285	951	2375
286	953	2369
287	955	2361
288	956	2354
289	958	2347
290	960	2339
291	961	2331
292	962	2323
293	966	2321
294	968	2313
295	969	2306
296	971	2299
297	973	2292
298	974	2285
299	976	2277
300	977	2270
301	980	2266
302	982	2259
303	983	2251
304	985	2244
305	986	2238
306	988	2230
307	989	2224
308	991	2216
309	994	2213
310	996	2207
311	997	2199
312	999	2193
313	1001	2187
314	1002	2180
315	1004	2174
316	1006	2167
317	1007	2160
318	1010	2157
319	1012	2150
320	1014	2146
321	1016	2140
322	1019	2135
323	1022	2134
324	1025	2130
325	1028	2126
326	1031	2123
327	1034	2118
328	1035	2112
329	1038	2108
330	1040	2102
331	1041	2095
332	1043	2089
333	1044	2083
334	1046	2078
335	1049	2073
336	1050	2067
337	1054	2065
338	1056	2060
339	1058	2054
340	1060	2048
341	1061	2042
